sampleId,sampleId_orig,locality,lat,long,continent,country,city,province,min_day,max_day,min_month,max_month,year,jday,exactDate,sr_season,bio_rep,tech_rep,exp_rep,loc_rep,fruit_type,subsample,nFlies,fly_type,library_type,sampling_strategy,seq_platform,set,collector,SRA_Accession,reference,SequencingId,low_qual,DIN,DNA_result,DNA_Status,library_result,totalreads
AU_Que_Inn_12_2014-02-15,AU_NQ2-30C-005_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_005,South Innisfail,NA,12,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449058,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_13_2014-02-15,AU_NQ1-30C-025_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_025,North Innisfail,NA,13,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449034,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_14_2014-02-15,AU_NQ2-30C-025_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_025,South Innisfail,NA,14,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449035,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_15_2014-02-15,AU_NQ1-30C-075_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_075,North Innisfail,NA,15,125,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448958,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_16_2014-02-15,AU_NQ2-30C-075_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_075,South Innisfail,NA,16,125,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448959,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_17_2014-02-15,AU_NQ1-30C-095_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_095,North Innisfail,NA,17,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448909,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_18_2014-02-15,AU_NQ2-30C-095_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_095,South Innisfail,NA,18,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448910,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_19_2014-02-15,AU_NQ1-30C-100_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_100,North Innisfail,NA,19,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449051,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_1_2014-02-15,AU_NQ1-20C-005_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_005,North Innisfail,NA,1,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448952,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_1_NA,AU_AUInni_NA_NA_NA,AU_Que_Inn,-17.521,146.026,Oceania,Australia,Innisfail,Queensland,NA,NA,NA,NA,NA,NA,NA,NA,BR-1,TR-1,NA,NA,NA,1,22,isofemale,Pooled,NA,Illumina HiSeq2000,dest_plus,Hoffman,SRR2587089,https://doi.org/10.1111/mec.13455,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_20_2014-02-15,AU_NQ2-30C-100_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_100,South Innisfail,NA,20,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449050,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_2_2014-02-15,AU_NQ2-20C-005_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_005,South Innisfail,NA,2,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448953,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_3_2014-02-15,AU_NQ1-20C-025_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_025,North Innisfail,NA,3,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449038,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_4_2014-02-15,AU_NQ2-20C-025_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_025,South Innisfail,NA,4,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449039,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_5_2014-02-15,AU_NQ1-20C-075_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_075,North Innisfail,NA,5,125,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448994,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_6_2014-02-15,AU_NQ2-20C-075_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_075,South Innisfail,NA,6,125,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448995,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_7_2014-02-15,AU_NQ1-20C-095_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_095,North Innisfail,NA,7,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448966,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_8_2014-02-15,AU_NQ2-20C-095_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_095,South Innisfail,NA,8,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448967,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_9_2014-02-15,AU_NQ1-20C-100_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_100,North Innisfail,NA,9,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449062,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_10_2014-03-15,AU_SQ1-30C-100_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,30C_100,NA,NA,10,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449032,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_1_2014-03-15,AU_SQ1-20C-005_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,20C_005,NA,NA,1,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449006,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_2_2014-03-15,AU_SQ1-20C-025_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,20C_025,NA,NA,2,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448981,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_3_2014-03-15,AU_SQ1-20C-075_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,20C_075,NA,NA,3,125,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448992,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_4_2014-03-15,AU_SQ1-20C-095_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,20C_095,NA,NA,4,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448962,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_5_2014-03-15,AU_SQ1-20C-100_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,20C_100,NA,NA,5,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448922,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_6_2014-03-15,AU_SQ1-30C-005_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,30C_005,NA,NA,6,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449014,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_7_2014-03-15,AU_SQ1-30C-025_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,30C_025,NA,NA,7,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448975,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_8_2014-03-15,AU_SQ1-30C-075_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,30C_075,NA,NA,8,125,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448950,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_9_2014-03-15,AU_SQ1-30C-095_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,30C_095,NA,NA,9,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448913,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Que_1_2004-07-01,AU_que1_NA_NA_2004,AU_Que_Que,-16.927537,145.750821,Oceania,Australia,Queensland,Queensland,1,30,1,12,2004,183,FALSE,NA,BR-1,TR-1,NA,NA,NA,1,17,isofemale,Pooled,NA,Illumina GA2,dest_plus,Reinhardt et al,SRR1177952,https://doi.org/10.1534/genetics.114.161463,NA,NA,NA,NA,NA,NA,NA
AU_Que_Que_2_2004-07-01,AU_que2_NA_NA_2004,AU_Que_Que,-16.927537,145.750821,Oceania,Australia,Queensland,Queensland,1,30,1,12,2004,183,FALSE,NA,BR-1,TR-2,NA,NA,NA,2,17,isofemale,Pooled,NA,Illumina GA2,dest_plus,Reinhardt et al,SRR1177951,https://doi.org/10.1534/genetics.114.161463,NA,NA,NA,NA,NA,NA,NA
AU_Que_Yep_10_2014-05-16,AU_SQ2-30C-100_NA_May_2014,AU_Que_Yep,-23.13,150.73,Oceania,Australia,Yeppoon,Queensland,1,30,5,5,2014,136,FALSE,NA,BR-1,TR-1,30C_100,NA,NA,10,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449033,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Yep_1_2014-05-16,AU_SQ2-20C-005_NA_May_2014,AU_Que_Yep,-23.13,150.73,Oceania,Australia,Yeppoon,Queensland,1,30,5,5,2014,136,FALSE,NA,BR-1,TR-1,20C_005,NA,NA,1,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449009,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Yep_2_2014-05-16,AU_SQ2-20C-025_NA_May_2014,AU_Que_Yep,-23.13,150.73,Oceania,Australia,Yeppoon,Queensland,1,30,5,5,2014,136,FALSE,NA,BR-1,TR-1,20C_025,NA,NA,2,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448980,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Yep_3_2014-05-16,AU_SQ2-20C-075_NA_May_2014,AU_Que_Yep,-23.13,150.73,Oceania,Australia,Yeppoon,Queensland,1,30,5,5,2014,136,FALSE,NA,BR-1,TR-1,20C_075,NA,NA,3,125,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448993,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Yep_4_2014-05-16,AU_SQ2-20C-095_NA_May_2014,AU_Que_Yep,-23.13,150.73,Oceania,Australia,Yeppoon,Queensland,1,30,5,5,2014,136,FALSE,NA,BR-1,TR-1,20C_095,NA,NA,4,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448963,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Yep_5_2014-05-16,AU_SQ2-20C-100_NA_May_2014,AU_Que_Yep,-23.13,150.73,Oceania,Australia,Yeppoon,Queensland,1,30,5,5,2014,136,FALSE,NA,BR-1,TR-1,20C_100,NA,NA,5,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448923,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Yep_6_2014-05-16,AU_SQ2-30C-005_NA_May_2014,AU_Que_Yep,-23.13,150.73,Oceania,Australia,Yeppoon,Queensland,1,30,5,5,2014,136,FALSE,NA,BR-1,TR-1,30C_005,NA,NA,6,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449013,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Yep_7_2014-05-16,AU_SQ2-30C-025_NA_May_2014,AU_Que_Yep,-23.13,150.73,Oceania,Australia,Yeppoon,Queensland,1,30,5,5,2014,136,FALSE,NA,BR-1,TR-1,30C_025,NA,NA,7,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448974,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Yep_8_2014-05-16,AU_SQ2-30C-075_NA_May_2014,AU_Que_Yep,-23.13,150.73,Oceania,Australia,Yeppoon,Queensland,1,30,5,5,2014,136,FALSE,NA,BR-1,TR-1,30C_075,NA,NA,8,125,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448951,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Que_Yep_9_2014-05-16,AU_SQ2-30C-095_NA_May_2014,AU_Que_Yep,-23.13,150.73,Oceania,Australia,Yeppoon,Queensland,1,30,5,5,2014,136,FALSE,NA,BR-1,TR-1,30C_095,NA,NA,9,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448914,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Sou_MtG_10_2014-04-16,AU_SA-30C-100_NA_Apr_2014,AU_Sou_MtG,-37.82,140.77,Oceania,Australia,MtGambier,South Australia,1,30,4,4,2014,106,FALSE,NA,BR-1,TR-1,30C_100,NA,NA,10,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449036,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Sou_MtG_1_2014-04-16,AU_SA-20C-005_NA_Apr_2014,AU_Sou_MtG,-37.82,140.77,Oceania,Australia,MtGambier,South Australia,1,30,4,4,2014,106,FALSE,NA,BR-1,TR-1,20C_005,NA,NA,1,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449046,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Sou_MtG_2_2014-04-16,AU_SA-20C-025_NA_Apr_2014,AU_Sou_MtG,-37.82,140.77,Oceania,Australia,MtGambier,South Australia,1,30,4,4,2014,106,FALSE,NA,BR-1,TR-1,20C_025,NA,NA,2,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448998,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Sou_MtG_3_2014-04-16,AU_SA-20C-075_NA_Apr_2014,AU_Sou_MtG,-37.82,140.77,Oceania,Australia,MtGambier,South Australia,1,30,4,4,2014,106,FALSE,NA,BR-1,TR-1,20C_075,NA,NA,3,125,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448943,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Sou_MtG_4_2014-04-16,AU_SA-20C-095_NA_Apr_2014,AU_Sou_MtG,-37.82,140.77,Oceania,Australia,MtGambier,South Australia,1,30,4,4,2014,106,FALSE,NA,BR-1,TR-1,20C_095,NA,NA,4,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449066,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Sou_MtG_5_2014-04-16,AU_SA-20C-100_NA_Apr_2014,AU_Sou_MtG,-37.82,140.77,Oceania,Australia,MtGambier,South Australia,1,30,4,4,2014,106,FALSE,NA,BR-1,TR-1,20C_100,NA,NA,5,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448920,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Sou_MtG_6_2014-04-16,AU_SA-30C-005_NA_Apr_2014,AU_Sou_MtG,-37.82,140.77,Oceania,Australia,MtGambier,South Australia,1,30,4,4,2014,106,FALSE,NA,BR-1,TR-1,30C_005,NA,NA,6,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449024,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Sou_MtG_7_2014-04-16,AU_SA-30C-025_NA_Apr_2014,AU_Sou_MtG,-37.82,140.77,Oceania,Australia,MtGambier,South Australia,1,30,4,4,2014,106,FALSE,NA,BR-1,TR-1,30C_025,NA,NA,7,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449004,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Sou_MtG_8_2014-04-16,AU_SA-30C-075_NA_Apr_2014,AU_Sou_MtG,-37.82,140.77,Oceania,Australia,MtGambier,South Australia,1,30,4,4,2014,106,FALSE,NA,BR-1,TR-1,30C_075,NA,NA,8,125,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448933,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Sou_MtG_9_2014-04-16,AU_SA-30C-095_NA_Apr_2014,AU_Sou_MtG,-37.82,140.77,Oceania,Australia,MtGambier,South Australia,1,30,4,4,2014,106,FALSE,NA,BR-1,TR-1,30C_095,NA,NA,9,72,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449055,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
AU_Tas_Hil_10_2014-04-16,AU_STS-30C-100_NA_Apr_2014,AU_Tas_Hil,-43,146.9,Oceania,Australia,Hillwood,Tasmania,1,30,4,4,2014,106,FALSE,NA,BR-1,TR-1,30C_100,NA,NA,10,24,isofemale,Pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449029,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA
