sampleId,sampleId_orig,locality,lat,long,continent,country,city,province,min_day,max_day,min_month,max_month,year,jday,exactDate,sr_season,bio_rep,tech_rep,exp_rep,loc_rep,fruit_type,subsample,nFlies,fly_type,library_type,sampling_strategy,seq_platform,set,collector,SRA_Accession,reference,SequencingId,low_qual,DIN,DNA_result,DNA_Status,library_result,totalreads,SimCont.Norm,pcrdup,pNpS,private,Cov,Miss,Recommendation,collapsedSamples,N,cluster1.0,cluster2.0_k4,cluster2.0_k5,cluster2.0_k8,fruit_type_curated
AU_Que_Inn_10_2014-02-15,AU_NQ2-20C-100_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_100,South Innisfail,NA,10,24,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449061,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.017255828954795,0.509118,0.323029471079702,3.70432214082224,8.71326971692114,0.0643084304324679,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_11_2014-02-15,AU_NQ1-30C-005_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_005,North Innisfail,NA,11,24,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449010,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.305308891704445,0.509795,0.372433603315125,3.5686709780099,6.01035969308245,0.307095819847679,High Contamination,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_12_2014-02-15,AU_NQ2-30C-005_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_005,South Innisfail,NA,12,24,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449058,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0170019929992133,0.50542,0.341349721706865,3.5762261374496,7.82001080674054,0.105424205408044,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_13_2014-02-15,AU_NQ1-30C-025_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_025,North Innisfail,NA,13,72,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449034,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0676927928582839,0.510304,0.339333897144698,3.58748646541096,8.76226971384021,0.076231131610761,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_14_2014-02-15,AU_NQ2-30C-025_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_025,South Innisfail,NA,14,72,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449035,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0167463991992224,0.501782,0.325844175377905,3.55412558151301,8.91356591154329,0.0721418785424866,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_15_2014-02-15,AU_NQ1-30C-075_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_075,North Innisfail,NA,15,125,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448958,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0373817647591155,0.516132,0.332340302603546,3.71717102683231,9.3750590428966,0.058846710276954,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_16_2014-02-15,AU_NQ2-30C-075_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_075,South Innisfail,NA,16,125,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448959,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0168861010062513,0.505353,0.333386321185868,3.64404449281475,8.31084777628632,0.0831104530257609,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_17_2014-02-15,AU_NQ1-30C-095_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_095,North Innisfail,NA,17,72,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448909,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0711465056748389,0.522117,0.334965924407237,3.67375793654958,9.00351393204943,0.0660914728930471,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_18_2014-02-15,AU_NQ2-30C-095_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_095,South Innisfail,NA,18,72,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448910,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0165057475216193,0.509117,0.337311385459534,3.45621415535799,7.84261360333643,0.106649622450223,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_19_2014-02-15,AU_NQ1-30C-100_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_100,North Innisfail,NA,19,24,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449051,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0169736756651323,0.504191,0.318458082062197,3.83289194475979,12.9664106986886,0.0287456145842585,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_1_2014-02-15,AU_NQ1-20C-005_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_005,North Innisfail,NA,1,24,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448952,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.287292385665119,0.600903,0.35600335852225,3.60691852594829,6.3074826394279,0.249689520573175,High Contamination,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_1_NA-MM-DD,AU_AUInni_NA_NA_NA,AU_Que_Inn,-17.521,146.026,Oceania,Australia,Innisfail,Queensland,NA,NA,NA,NA,NA,NA,NA,NA,BR-1,TR-1,NA,NA,NA,1,22,isofemale,pooled,NA,Illumina HiSeq2000,dest_plus,Hoffman,SRR2587089,https://doi.org/10.1111/mec.13455,NA,NA,NA,NA,NA,NA,NA,0.0135649423393109,0.190454,0.31902515589146,3.59604700754544,15.9280621889034,0.0184613323898835,Pass,NA,NA,4,4,3,4,NA
AU_Que_Inn_20_2014-02-15,AU_NQ2-30C-100_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,30C_100,South Innisfail,NA,20,24,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449050,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0169167025190197,0.500521,0.319073758596757,3.64493070791359,8.81663517238603,0.0595018837450492,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_2_2014-02-15,AU_NQ2-20C-005_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_005,South Innisfail,NA,2,24,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448953,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0171046193370129,0.513415,0.333576916652748,3.68403703748652,8.28282847998531,0.0800233727068322,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_3_2014-02-15,AU_NQ1-20C-025_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_025,North Innisfail,NA,3,72,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449038,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0908723057348329,0.504502,0.326675169233788,3.55581968306119,8.40990801248966,0.0898077818107345,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_4_2014-02-15,AU_NQ2-20C-025_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_025,South Innisfail,NA,4,72,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449039,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0169380833373833,0.502239,0.330311719544908,3.5449357658815,8.8550381178083,0.0651572440589113,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_5_2014-02-15,AU_NQ1-20C-075_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_075,North Innisfail,NA,5,125,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448994,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.023976166718861,0.510515,0.333668473509355,3.45606222445495,7.98638270281216,0.0988195715359644,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_6_2014-02-15,AU_NQ2-20C-075_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_075,South Innisfail,NA,6,125,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448995,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0169315919246372,0.526963,0.329077912022616,3.6652056284346,9.40625258639524,0.0559314310007702,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_7_2014-02-15,AU_NQ1-20C-095_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_095,North Innisfail,NA,7,72,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448966,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0169473028476645,0.531565,0.33138056589573,3.579554960401,8.54737122693671,0.0805659534011511,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_8_2014-02-15,AU_NQ2-20C-095_NA_Feb_2014,AU_Que_Inn,-17.51,145.98,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_095,South Innisfail,NA,8,72,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448967,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.016684850317391,0.513895,0.332898996274202,3.55521540512607,8.59270317667048,0.0751348080074816,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Inn_9_2014-02-15,AU_NQ1-20C-100_NA_Feb_2014,AU_Que_Inn,-17.48,146,Oceania,Australia,Innisfail,Queensland,1,28,2,2,2014,46,FALSE,NA,BR-1,TR-1,20C_100,North Innisfail,NA,9,24,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449062,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0786218201552908,0.502104,0.323041467380152,3.73814608871206,9.49835421671601,0.0503289698780358,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_0_2014-03-15,NA,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,NA,NA,NA,NA,NA,0,634,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449032;SRR8449006;SRR8448981;SRR8448992;SRR8448962;SRR8448922;SRR8449014;SRR8448975;SRR8448950;SRR8448913,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0165169015516039,0.518364,NA,NA,69.1498547258792,0.052349365141216,Pass,AU_Que_Isl_10_2014-03-15;AU_Que_Isl_1_2014-03-15;AU_Que_Isl_2_2014-03-15;AU_Que_Isl_3_2014-03-15;AU_Que_Isl_4_2014-03-15;AU_Que_Isl_5_2014-03-15;AU_Que_Isl_6_2014-03-15;AU_Que_Isl_7_2014-03-15;AU_Que_Isl_8_2014-03-15;AU_Que_Isl_9_2014-03-15,10,4,4,3,4,NA
AU_Que_Isl_10_2014-03-15,AU_SQ1-30C-100_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,30C_100,NA,NA,10,24,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449032,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0163211027317731,0.505366,0.329113412069244,3.44839710345777,7.7819732230211,0.0957067695919919,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_1_2014-03-15,AU_SQ1-20C-005_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,20C_005,NA,NA,1,24,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449006,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0165268788184637,0.504546,0.332789188742406,3.50960570461156,7.73908098344485,0.0966885591667746,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_2_2014-03-15,AU_SQ1-20C-025_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,20C_025,NA,NA,2,72,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448981,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0164896962927523,0.503083,0.331419653308065,3.55690526905545,9.05662584059908,0.0659318046923039,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_3_2014-03-15,AU_SQ1-20C-075_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,20C_075,NA,NA,3,125,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448992,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0163735330476451,0.50786,0.349820604818042,3.68394713075151,7.01206706140025,0.163303685520618,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_4_2014-03-15,AU_SQ1-20C-095_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,20C_095,NA,NA,4,72,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448962,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0162397921848639,0.500859,0.353486902573529,3.64620761220669,6.7754420387858,0.183273372828161,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_5_2014-03-15,AU_SQ1-20C-100_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,20C_100,NA,NA,5,24,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448922,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0166325120248682,0.502367,0.31882071136956,3.71541832259506,9.38180904867061,0.05125203649753,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_6_2014-03-15,AU_SQ1-30C-005_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,30C_005,NA,NA,6,24,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8449014,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0163981246251488,0.508759,0.331422167168053,4.09286094333882,14.0553435171661,0.0277681928325964,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_7_2014-03-15,AU_SQ1-30C-025_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,30C_025,NA,NA,7,72,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448975,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0163550153860111,0.50987,0.357719732246799,3.45347123372294,6.47441074756763,0.226898704843382,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_8_2014-03-15,AU_SQ1-30C-075_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,30C_075,NA,NA,8,125,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448950,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0162356380817242,0.511436,0.326890578791719,3.7814681428418,10.9565845255082,0.0385047873767971,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Isl_9_2014-03-15,AU_SQ1-30C-095_NA_Mar_2014,AU_Que_Isl,-25.17,149.93,Oceania,Australia,Isla Gorge,Queensland,1,30,3,3,2014,74,FALSE,NA,BR-1,TR-1,30C_095,NA,NA,9,72,isofemale,pooled,NA,Illumina NextSeq 500,dest_plus,Fournier-Level et al,SRR8448913,https://doi.org/10.1038/s41559-019-0837-y,NA,NA,NA,NA,NA,NA,NA,0.0163018199311672,0.525975,0.335353535353535,3.55218133883934,8.36467179332237,0.0828246032681994,Collapse,NA,NA,NA,NA,NA,NA,NA
AU_Que_Que_1_2004-07-01,AU_que1_NA_NA_2004,AU_Que_Que,-16.927537,145.750821,Oceania,Australia,Queensland,Queensland,1,30,1,12,2004,183,FALSE,NA,BR-1,TR-1,NA,NA,NA,1,17,isofemale,pooled,NA,Illumina GA2,dest_plus,Reinhardt et al,SRR1177952,https://doi.org/10.1534/genetics.114.161463,NA,NA,NA,NA,NA,NA,NA,0.013699591514929,0.164217,0.40053401937282,3.74350976472843,10.2919380800387,0.131356941902614,Pass,NA,NA,4,4,3,4,NA
AU_Que_Que_2_2004-07-01,AU_que2_NA_NA_2004,AU_Que_Que,-16.927537,145.750821,Oceania,Australia,Queensland,Queensland,1,30,1,12,2004,183,FALSE,NA,BR-1,TR-2,NA,NA,NA,2,17,isofemale,pooled,NA,Illumina GA2,dest_plus,Reinhardt et al,SRR1177951,https://doi.org/10.1534/genetics.114.161463,NA,NA,NA,NA,NA,NA,NA,0.0143539368392984,0.129218,0.408843768583808,4.0111473607758,8.12351881335731,0.180337710377414,Pass,NA,NA,4,4,3,4,NA
